Label,Message
1.0,go jurong point crazy available bugis n great world la e buffet cine got amore wat
1.0,ok lar joking wif u oni
0.0,free entry wkly comp win fa cup final tkts st may text fa receive entry question std txt rate c apply
1.0,u dun say early hor u c already say
1.0,nah think go usf life around though
0.0,freemsg hey darling week word back like fun still tb ok xxx std chgs send rcv
1.0,even brother like speak treat like aid patent
1.0,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune
0.0,winner valued network customer selected receivea prize reward claim call claim code kl valid hour
0.0,mobile month u r entitled update latest colour mobile camera free call mobile update co free
1.0,gonna home soon want talk stuff anymore tonight k cried enough today
0.0,six chance win cash pound txt csh send cost p day day tsandcs apply reply hl info
0.0,urgent week free membership prize jackpot txt word claim c www dbuk net lccltd pobox ldnw rw
1.0,searching right word thank breather promise wont take help granted fulfil promise wonderful blessing time
1.0,date sunday
0.0,xxxmobilemovieclub use credit click wap link next txt message click http wap xxxmobilemovieclub com n qjkgighjjgcbl
1.0,oh k watching
1.0,eh u remember spell name yes v naughty make v wet
1.0,fine way u feel way gota b
0.0,england v macedonia dont miss goal team news txt ur national team eg england try wale scotland txt poboxox w wq
1.0,seriously spell name
1.0,going try month ha ha joking
1.0,pay first lar da stock comin
1.0,aft finish lunch go str lor ard smth lor u finish ur lunch already
1.0,ffffffffff alright way meet sooner
1.0,forced eat slice really hungry tho suck mark getting worried know sick turn pizza lol
1.0,lol always convincing
1.0,catch bus frying egg make tea eating mom left dinner feel love
1.0,back amp packing car let know room
1.0,ahhh work vaguely remember feel like lol
1.0,wait still clear sure sarcastic x want live u
1.0,yeah got v apologetic n fallen actin like spoilt child got caught till go badly cheer
1.0,k tell anything
1.0,fear fainting housework quick cuppa
0.0,thanks subscription ringtone uk mobile charged month please confirm replying yes reply charged
1.0,yup ok go home look timing msg xuhui going learn nd may lesson
1.0,oops let know roommate done
1.0,see letter b car
1.0,anything lor u decide
1.0,hello saturday go texting see decided anything tomo trying invite anything
1.0,pls go ahead watt wanted sure great weekend abiola
1.0,forget tell want need crave love sweet arabian steed mmmmmm yummy
0.0,rodger burn msg tried call reply sm free nokia mobile free camcorder please call delivery tomorrow
1.0,seeing
1.0,great hope like man well endowed lt gt inch
1.0,call message missed call
1.0,get hep b immunisation nigeria
1.0,fair enough anything going
1.0,yeah hopefully tyler could maybe ask around bit
1.0,u know stubborn even want go hospital kept telling mark weak sucker hospital weak sucker
1.0,thinked first time saw class
1.0,gram usually run like lt gt half eighth smarter though get almost whole second gram lt gt
1.0,k fyi x ride early tomorrow morning crashing place tonight
1.0,wow never realized embarassed accomodations thought liked since best could always seemed happy cave sorry give sorry offered sorry room embarassing
